
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1919"	"5.91"	"6.7"	"7.41"	"7.6"	"7.22"	"5.87"	"5.34"	"5.46"	"5.76"	"5.45"	"5.27"	"5.35"
"1920"	"5.82"	"6.62"	"7.43"	"7.54"	"7.23"	"5.91"	"5.35"	"5.47"	"5.76"	"5.45"	"5.31"	"5.27"
"1921"	"5.9"	"6.62"	"7.43"	"7.5"	"7.22"	"5.9"	"5.35"	"5.48"	"5.73"	"5.43"	"5.24"	"5.25"
"1922"	"5.88"	"6.58"	"7.4"	"7.59"	"7.2"	"5.87"	"5.31"	"5.45"	"5.78"	"5.42"	"5.28"	"5.27"
"1923"	"5.79"	"6.58"	"7.32"	"7.49"	"7.17"	"5.92"	"5.31"	"5.45"	"5.73"	"5.41"	"5.28"	"5.34"
"1924"	"5.85"	"6.67"	"7.38"	"7.56"	"7.29"	"5.9"	"5.31"	"5.47"	"5.75"	"5.43"	"5.27"	"5.24"
"1925"	"5.84"	"6.6"	"7.36"	"7.59"	"7.18"	"5.87"	"5.35"	"5.46"	"5.8"	"5.43"	"5.26"	"5.25"
"1926"	"5.84"	"6.62"	"7.43"	"7.52"	"7.21"	"5.95"	"5.41"	"5.51"	"5.77"	"5.43"	"5.26"	"5.28"
"1927"	"5.89"	"6.67"	"7.44"	"7.62"	"7.24"	"5.9"	"5.31"	"5.47"	"5.78"	"5.44"	"5.23"	"5.28"
"1928"	"5.88"	"6.65"	"7.38"	"7.52"	"7.27"	"5.94"	"5.36"	"5.45"	"5.79"	"5.43"	"5.27"	"5.27"
"1929"	"5.87"	"6.66"	"7.4"	"7.5"	"7.19"	"5.87"	"5.34"	"5.5"	"5.82"	"5.44"	"5.25"	"5.32"
"1930"	"5.89"	"6.62"	"7.38"	"7.55"	"7.17"	"5.88"	"5.35"	"5.47"	"5.78"	"5.44"	"5.25"	"5.3"
"1931"	"5.89"	"6.66"	"7.45"	"7.6"	"7.34"	"6.01"	"5.44"	"5.5"	"5.82"	"5.56"	"5.38"	"5.28"
"1932"	"5.88"	"6.55"	"7.29"	"7.47"	"7.07"	"5.76"	"5.23"	"5.46"	"5.7"	"5.24"	"5.08"	"5.28"
"1933"	"5.83"	"6.61"	"7.39"	"7.55"	"7.21"	"5.83"	"5.33"	"5.47"	"5.73"	"5.37"	"5.31"	"5.34"
"1934"	"5.82"	"6.62"	"7.36"	"7.47"	"7.23"	"5.9"	"5.41"	"5.47"	"5.83"	"5.52"	"5.34"	"5.28"
"1935"	"5.79"	"6.61"	"7.39"	"7.47"	"7.23"	"5.93"	"5.35"	"5.47"	"5.72"	"5.46"	"5.28"	"5.28"
"1936"	"5.89"	"6.67"	"7.41"	"7.49"	"7.2"	"5.85"	"5.35"	"5.44"	"5.78"	"5.43"	"5.24"	"5.35"
"1937"	"5.85"	"6.63"	"7.44"	"7.52"	"7.3"	"5.87"	"5.26"	"5.55"	"5.86"	"5.43"	"5.27"	"5.28"
"1938"	"5.88"	"6.64"	"7.45"	"7.6"	"7.27"	"5.87"	"5.29"	"5.46"	"5.73"	"5.43"	"5.31"	"5.32"
"1939"	"5.85"	"6.57"	"7.38"	"7.47"	"7.22"	"5.91"	"5.32"	"5.45"	"5.76"	"5.47"	"5.24"	"5.35"
"1940"	"5.82"	"6.54"	"7.4"	"7.52"	"7.19"	"5.86"	"5.24"	"5.39"	"5.77"	"5.46"	"5.19"	"5.26"
"1941"	"5.86"	"6.55"	"7.34"	"7.5"	"7.17"	"5.85"	"5.34"	"5.5"	"5.71"	"5.38"	"5.26"	"5.35"
"1942"	"5.89"	"6.63"	"7.43"	"7.55"	"7.25"	"5.95"	"5.31"	"5.46"	"5.76"	"5.46"	"5.31"	"5.24"
"1943"	"5.89"	"6.61"	"7.38"	"7.53"	"7.13"	"5.76"	"5.24"	"5.5"	"5.7"	"5.36"	"5.24"	"5.28"
"1944"	"5.86"	"6.62"	"7.38"	"7.46"	"7.26"	"5.94"	"5.3"	"5.55"	"5.82"	"5.52"	"5.31"	"5.31"
"1945"	"5.87"	"6.66"	"7.47"	"7.53"	"7.22"	"6.01"	"5.37"	"5.48"	"5.77"	"5.49"	"5.22"	"5.35"
"1946"	"5.86"	"6.57"	"7.43"	"7.55"	"7.2"	"5.84"	"5.32"	"5.37"	"5.71"	"5.42"	"5.17"	"5.22"
"1947"	"5.83"	"6.55"	"7.35"	"7.42"	"7.27"	"6"	"5.28"	"5.47"	"5.72"	"5.4"	"5.35"	"5.28"
"1948"	"5.83"	"6.68"	"7.41"	"7.59"	"7.27"	"5.91"	"5.36"	"5.49"	"5.74"	"5.49"	"5.34"	"5.35"
"1949"	"5.88"	"6.61"	"7.44"	"7.59"	"7.2"	"5.83"	"5.27"	"5.46"	"5.7"	"5.44"	"5.34"	"5.35"
"1950"	"5.84"	"6.64"	"7.42"	"7.51"	"7.26"	"5.88"	"5.25"	"5.49"	"5.71"	"5.43"	"5.24"	"5.31"
"1951"	"5.83"	"6.62"	"7.43"	"7.55"	"7.28"	"5.91"	"5.35"	"5.46"	"5.83"	"5.49"	"5.31"	"5.37"
"1952"	"5.98"	"6.68"	"7.44"	"7.61"	"7.3"	"6.02"	"5.41"	"5.47"	"5.84"	"5.43"	"5.36"	"5.3"
"1953"	"5.84"	"6.6"	"7.48"	"7.53"	"7.3"	"6.02"	"5.37"	"5.5"	"5.81"	"5.47"	"5.34"	"5.35"
"1954"	"5.85"	"6.7"	"7.43"	"7.58"	"7.29"	"5.9"	"5.33"	"5.46"	"5.74"	"5.43"	"5.34"	"5.28"
"1955"	"5.81"	"6.63"	"7.4"	"7.54"	"7.09"	"5.64"	"5.3"	"5.37"	"5.72"	"5.42"	"5.27"	"5.27"
"1956"	"5.81"	"6.59"	"7.43"	"7.62"	"7.2"	"5.72"	"5.22"	"5.41"	"5.68"	"5.34"	"5.22"	"5.29"
"1957"	"5.81"	"6.63"	"7.38"	"7.52"	"7.22"	"5.77"	"5.22"	"5.41"	"5.76"	"5.4"	"5.24"	"5.29"
"1958"	"5.87"	"6.63"	"7.47"	"7.62"	"7.17"	"5.97"	"5.28"	"5.44"	"5.72"	"5.33"	"5.25"	"5.35"
"1959"	"5.86"	"6.69"	"7.48"	"7.6"	"7.32"	"5.84"	"5.24"	"5.42"	"5.72"	"5.39"	"5.29"	"5.34"
"1960"	"5.88"	"6.66"	"7.43"	"7.66"	"7.19"	"5.93"	"5.32"	"5.54"	"5.73"	"5.47"	"5.15"	"5.31"
"1961"	"5.75"	"6.57"	"7.33"	"7.64"	"7.2"	"5.8"	"5.18"	"5.41"	"5.73"	"5.43"	"5.25"	"5.29"
"1962"	"5.84"	"6.58"	"7.43"	"7.5"	"7.13"	"5.94"	"5.35"	"5.41"	"5.71"	"5.36"	"5.35"	"5.33"
"1963"	"5.78"	"6.63"	"7.41"	"7.52"	"7.27"	"5.87"	"5.41"	"5.47"	"5.82"	"5.42"	"5.27"	"5.34"
"1964"	"5.93"	"6.68"	"7.44"	"7.59"	"7.35"	"5.97"	"5.41"	"5.47"	"5.68"	"5.46"	"5.25"	"5.35"
"1965"	"5.87"	"6.61"	"7.43"	"7.52"	"7.22"	"6.03"	"5.42"	"5.46"	"5.76"	"5.56"	"5.38"	"5.26"
"1966"	"5.87"	"6.69"	"7.49"	"7.62"	"7.23"	"5.92"	"5.34"	"5.55"	"5.81"	"5.47"	"5.21"	"5.33"
"1967"	"5.91"	"6.73"	"7.39"	"7.61"	"7.22"	"5.93"	"5.32"	"5.41"	"5.73"	"5.38"	"5.36"	"5.26"
"1968"	"5.83"	"6.63"	"7.42"	"7.53"	"7.27"	"5.97"	"5.27"	"5.5"	"5.8"	"5.48"	"5.27"	"5.35"
"1969"	"5.88"	"6.63"	"7.5"	"7.64"	"7.23"	"5.96"	"5.38"	"5.51"	"5.75"	"5.44"	"5.33"	"5.28"
"1970"	"5.85"	"6.61"	"7.41"	"7.59"	"7.2"	"5.83"	"5.38"	"5.41"	"5.73"	"5.41"	"5.23"	"5.37"
"1971"	"5.82"	"6.67"	"7.38"	"7.55"	"7.23"	"5.73"	"5.35"	"5.47"	"5.74"	"5.4"	"5.38"	"5.28"
"1972"	"5.87"	"6.65"	"7.43"	"7.54"	"7.09"	"6.01"	"5.37"	"5.56"	"5.84"	"5.43"	"5.28"	"5.29"
"1973"	"5.92"	"6.68"	"7.46"	"7.6"	"7.29"	"5.89"	"5.37"	"5.38"	"5.72"	"5.39"	"5.36"	"5.27"
"1974"	"5.89"	"6.71"	"7.44"	"7.6"	"7.22"	"5.93"	"5.34"	"5.45"	"5.7"	"5.39"	"5.41"	"5.4"
"1975"	"5.85"	"6.63"	"7.43"	"7.64"	"7.24"	"5.79"	"5.3"	"5.41"	"5.67"	"5.29"	"5.23"	"5.35"
"1976"	"5.78"	"6.61"	"7.46"	"7.52"	"7.25"	"6.12"	"5.42"	"5.47"	"5.77"	"5.5"	"5.21"	"5.36"
"1977"	"5.92"	"6.63"	"7.42"	"7.57"	"7.13"	"5.84"	"5.32"	"5.44"	"5.81"	"5.38"	"5.2"	"5.37"
"1978"	"5.85"	"6.6"	"7.43"	"7.58"	"7.22"	"5.79"	"5.25"	"5.41"	"5.73"	"5.46"	"5.26"	"5.22"
"1979"	"5.78"	"6.57"	"7.43"	"7.65"	"7.25"	"5.95"	"5.26"	"5.44"	"5.68"	"5.45"	"5.12"	"5.35"
"1980"	"5.92"	"6.68"	"7.46"	"7.52"	"7.32"	"5.77"	"5.34"	"5.43"	"5.8"	"5.53"	"5.3"	"5.34"
"1981"	"5.92"	"6.69"	"7.42"	"7.58"	"7.25"	"5.86"	"5.37"	"5.45"	"5.74"	"5.43"	"5.32"	"5.29"
"1982"	"5.83"	"6.64"	"7.48"	"7.6"	"7.25"	"5.89"	"5.34"	"5.47"	"5.77"	"5.47"	"5.34"	"5.34"
"1983"	"5.82"	"6.7"	"7.55"	"7.64"	"7.29"	"5.92"	"5.41"	"5.49"	"5.74"	"5.42"	"5.27"	"5.32"
"1984"	"5.92"	"6.64"	"7.36"	"7.47"	"7.29"	"5.9"	"5.3"	"5.45"	"5.77"	"5.44"	"5.26"	"5.34"
"1985"	"5.9"	"6.7"	"7.5"	"7.61"	"7.29"	"5.89"	"5.3"	"5.44"	"5.81"	"5.43"	"5.24"	"5.35"
"1986"	"5.87"	"6.63"	"7.43"	"7.62"	"7.3"	"5.89"	"5.37"	"5.46"	"5.76"	"5.46"	"5.27"	"5.35"
"1987"	"5.9"	"6.63"	"7.39"	"7.55"	"7.23"	"5.91"	"5.41"	"5.47"	"5.82"	"5.48"	"5.33"	"5.36"
"1988"	"5.84"	"6.68"	"7.54"	"7.58"	"7.22"	"5.93"	"5.35"	"5.46"	"5.71"	"5.43"	"5.32"	"5.34"
"1989"	"5.88"	"6.66"	"7.41"	"7.55"	"7.25"	"5.88"	"5.32"	"5.43"	"5.75"	"5.46"	"5.32"	"5.35"
"1990"	"5.88"	"6.67"	"7.45"	"7.66"	"7.21"	"5.87"	"5.33"	"5.42"	"5.77"	"5.45"	"5.3"	"5.28"
"1991"	"5.92"	"6.68"	"7.53"	"7.59"	"7.28"	"5.91"	"5.32"	"5.41"	"5.78"	"5.47"	"5.27"	"5.34"
"1992"	"5.79"	"6.67"	"7.45"	"7.58"	"7.21"	"5.88"	"5.34"	"5.46"	"5.76"	"5.43"	"5.33"	"5.28"
"1993"	"5.85"	"6.63"	"7.43"	"7.58"	"7.27"	"5.92"	"5.35"	"5.49"	"5.75"	"5.42"	"5.3"	"5.28"
"1994"	"5.86"	"6.67"	"7.47"	"7.55"	"7.24"	"5.92"	"5.31"	"5.46"	"5.81"	"5.47"	"5.27"	"5.28"
"1995"	"5.83"	"6.7"	"7.46"	"7.6"	"7.16"	"5.91"	"5.35"	"5.47"	"5.77"	"5.42"	"5.36"	"5.35"
"1996"	"6.03"	"6.87"	"7.51"	"7.55"	"7.29"	"5.78"	"5.29"	"5.36"	"5.52"	"5.45"	"5.17"	"5.07"
"1997"	"5.78"	"6.82"	"7.39"	"7.5"	"7.18"	"6.02"	"5.27"	"5.42"	"5.79"	"5.69"	"5.15"	"5.15"
"1998"	"5.96"	"6.81"	"7.57"	"7.72"	"7.17"	"5.89"	"5.36"	"5.43"	"5.58"	"5.39"	"5.35"	"5.17"
"1999"	"5.96"	"6.73"	"7.43"	"7.65"	"6.91"	"5.91"	"5.25"	"5.5"	"5.87"	"5.46"	"5.5"	"5.21"
"2000"	"5.94"	"6.46"	"7.52"	"7.61"	"7.24"	"5.58"	"5.35"	"5.44"	"5.79"	"5.4"	"5.45"	"5.32"
"2001"	"5.65"	"6.81"	"7.47"	"7.51"	"7.26"	"5.61"	"5.34"	"5.38"	"5.72"	"5.39"	"5.33"	"5.15"
"2002"	"5.78"	"6.64"	"7.42"	"7.71"	"7.05"	"5.73"	"5.5"	"5.5"	"5.99"	"5.47"	"5.41"	"5.35"
