
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1930"	"3.91"	"4.6"	"5.47"	"5.86"	"5.52"	"4.72"	"4.39"	"4.39"	"4.53"	"4.05"	"3.62"	"3.52"
"1931"	"3.86"	"4.65"	"5.56"	"5.95"	"5.73"	"4.73"	"4.4"	"4.43"	"4.49"	"4.1"	"3.67"	"3.48"
"1932"	"3.79"	"4.6"	"5.37"	"5.91"	"5.53"	"4.67"	"4.33"	"4.43"	"4.45"	"4.08"	"3.67"	"3.47"
"1933"	"3.85"	"4.66"	"5.44"	"5.85"	"5.44"	"4.56"	"4.31"	"4.35"	"4.44"	"3.99"	"3.67"	"3.46"
"1934"	"3.86"	"4.55"	"5.42"	"5.85"	"5.64"	"4.68"	"4.37"	"4.37"	"4.57"	"4.1"	"3.57"	"3.41"
"1935"	"3.9"	"4.67"	"5.5"	"5.84"	"5.71"	"4.72"	"4.32"	"4.34"	"4.43"	"4.07"	"3.58"	"3.51"
"1936"	"3.95"	"4.68"	"5.43"	"5.87"	"5.61"	"4.54"	"4.32"	"4.34"	"4.5"	"4.07"	"3.67"	"3.55"
"1937"	"3.87"	"4.72"	"5.55"	"5.78"	"5.61"	"4.67"	"4.3"	"4.42"	"4.53"	"4.05"	"3.62"	"3.46"
"1938"	"3.91"	"4.74"	"5.58"	"5.87"	"5.64"	"4.6"	"4.31"	"4.32"	"4.45"	"3.98"	"3.62"	"3.51"
"1939"	"3.84"	"4.55"	"5.42"	"5.79"	"5.64"	"4.67"	"4.28"	"4.35"	"4.45"	"4.08"	"3.61"	"3.45"
"1940"	"3.78"	"4.58"	"5.5"	"5.78"	"5.57"	"4.66"	"4.32"	"4.35"	"4.51"	"4.08"	"3.62"	"3.5"
"1941"	"3.93"	"4.65"	"5.61"	"5.94"	"5.64"	"4.66"	"4.42"	"4.42"	"4.48"	"4.09"	"3.68"	"3.51"
"1942"	"3.87"	"4.66"	"5.53"	"5.91"	"5.71"	"4.71"	"4.35"	"4.36"	"4.49"	"4.08"	"3.62"	"3.56"
"1943"	"3.91"	"4.58"	"5.5"	"5.78"	"5.48"	"4.58"	"4.27"	"4.38"	"4.39"	"3.95"	"3.67"	"3.46"
"1944"	"3.9"	"4.61"	"5.39"	"5.77"	"5.64"	"4.68"	"4.29"	"4.41"	"4.49"	"4.08"	"3.67"	"3.47"
"1945"	"3.9"	"4.74"	"5.53"	"5.8"	"5.64"	"4.71"	"4.37"	"4.37"	"4.45"	"4.09"	"3.62"	"3.51"
"1946"	"3.8"	"4.59"	"5.56"	"5.85"	"5.59"	"4.68"	"4.33"	"4.34"	"4.47"	"4.08"	"3.67"	"3.49"
"1947"	"3.92"	"4.57"	"5.51"	"5.75"	"5.7"	"4.7"	"4.33"	"4.39"	"4.43"	"4.03"	"3.62"	"3.51"
"1948"	"3.93"	"4.72"	"5.48"	"5.87"	"5.57"	"4.69"	"4.34"	"4.34"	"4.45"	"4.08"	"3.72"	"3.46"
"1949"	"3.84"	"4.6"	"5.55"	"5.85"	"5.57"	"4.65"	"4.31"	"4.36"	"4.42"	"4.1"	"3.6"	"3.44"
"1950"	"3.84"	"4.66"	"5.51"	"5.88"	"5.65"	"4.64"	"4.29"	"4.38"	"4.41"	"3.99"	"3.6"	"3.46"
"1951"	"3.86"	"4.62"	"5.55"	"5.85"	"5.59"	"4.6"	"4.32"	"4.43"	"4.57"	"4.1"	"3.72"	"3.46"
"1952"	"3.91"	"4.68"	"5.57"	"5.96"	"5.64"	"4.68"	"4.38"	"4.38"	"4.49"	"4.03"	"3.65"	"3.51"
"1953"	"3.9"	"4.59"	"5.64"	"5.78"	"5.76"	"4.78"	"4.33"	"4.39"	"4.45"	"4.08"	"3.61"	"3.47"
"1954"	"3.93"	"4.72"	"5.49"	"5.94"	"5.63"	"4.67"	"4.29"	"4.32"	"4.42"	"4.01"	"3.57"	"3.51"
"1955"	"3.86"	"4.7"	"5.52"	"5.85"	"5.45"	"4.64"	"4.34"	"4.27"	"4.5"	"4.08"	"3.59"	"3.41"
"1956"	"3.84"	"4.61"	"5.58"	"5.97"	"5.56"	"4.61"	"4.23"	"4.35"	"4.44"	"3.99"	"3.65"	"3.46"
"1957"	"3.84"	"4.67"	"5.42"	"5.85"	"5.65"	"4.65"	"4.33"	"4.37"	"4.49"	"4.1"	"3.67"	"3.56"
"1958"	"3.93"	"4.77"	"5.6"	"5.88"	"5.57"	"4.77"	"4.34"	"4.39"	"4.45"	"4.07"	"3.71"	"3.51"
"1959"	"3.95"	"4.74"	"5.56"	"5.93"	"5.71"	"4.66"	"4.27"	"4.38"	"4.49"	"4.1"	"3.67"	"3.54"
"1960"	"3.95"	"4.67"	"5.58"	"5.94"	"5.59"	"4.71"	"4.4"	"4.43"	"4.45"	"4.08"	"3.6"	"3.51"
"1961"	"3.91"	"4.74"	"5.68"	"5.95"	"5.57"	"4.64"	"4.27"	"4.38"	"4.47"	"4.06"	"3.65"	"3.52"
"1962"	"3.88"	"4.67"	"5.53"	"5.78"	"5.54"	"4.74"	"4.4"	"4.38"	"4.47"	"4.04"	"3.66"	"3.52"
"1963"	"3.84"	"4.55"	"5.5"	"5.79"	"5.65"	"4.68"	"4.41"	"4.39"	"4.53"	"4.08"	"3.7"	"3.53"
"1964"	"3.89"	"4.69"	"5.6"	"6.01"	"5.77"	"4.73"	"4.41"	"4.35"	"4.42"	"4.1"	"3.59"	"3.46"
"1965"	"3.84"	"4.62"	"5.53"	"5.8"	"5.65"	"4.73"	"4.36"	"4.38"	"4.52"	"4.22"	"3.75"	"3.56"
"1966"	"3.99"	"4.77"	"5.64"	"5.94"	"5.63"	"4.72"	"4.4"	"4.49"	"4.49"	"4.05"	"3.67"	"3.54"
"1967"	"3.86"	"4.58"	"5.45"	"5.91"	"5.66"	"4.72"	"4.27"	"4.31"	"4.44"	"3.97"	"3.67"	"3.56"
"1968"	"3.86"	"4.7"	"5.49"	"5.83"	"5.69"	"4.73"	"4.34"	"4.42"	"4.5"	"4.05"	"3.67"	"3.54"
"1969"	"3.9"	"4.73"	"5.67"	"5.98"	"5.64"	"4.73"	"4.37"	"4.42"	"4.45"	"4.05"	"3.69"	"3.51"
"1970"	"3.93"	"4.68"	"5.6"	"5.95"	"5.58"	"4.65"	"4.37"	"4.34"	"4.47"	"4.05"	"3.61"	"3.45"
"1971"	"3.93"	"4.68"	"5.45"	"5.87"	"5.6"	"4.57"	"4.37"	"4.38"	"4.5"	"4.03"	"3.6"	"3.44"
"1972"	"3.82"	"4.68"	"5.47"	"5.9"	"5.56"	"4.82"	"4.39"	"4.42"	"4.57"	"4.1"	"3.7"	"3.57"
"1973"	"3.95"	"4.75"	"5.62"	"6.03"	"5.71"	"4.72"	"4.42"	"4.31"	"4.49"	"4.07"	"3.66"	"3.47"
"1974"	"3.88"	"4.64"	"5.57"	"5.97"	"5.59"	"4.69"	"4.36"	"4.36"	"4.44"	"4.03"	"3.67"	"3.48"
"1975"	"3.87"	"4.77"	"5.59"	"6"	"5.62"	"4.64"	"4.31"	"4.36"	"4.43"	"4.03"	"3.6"	"3.46"
"1976"	"3.76"	"4.56"	"5.58"	"5.81"	"5.65"	"4.78"	"4.41"	"4.38"	"4.53"	"4.14"	"3.7"	"3.56"
"1977"	"3.9"	"4.71"	"5.56"	"5.9"	"5.51"	"4.67"	"4.36"	"4.39"	"4.55"	"4.06"	"3.7"	"3.52"
"1978"	"3.93"	"4.69"	"5.56"	"5.9"	"5.57"	"4.58"	"4.3"	"4.34"	"4.49"	"4.1"	"3.72"	"3.54"
"1979"	"3.96"	"4.75"	"5.56"	"5.94"	"5.64"	"4.72"	"4.26"	"4.39"	"4.48"	"4.09"	"3.69"	"3.6"
"1980"	"3.88"	"4.72"	"5.56"	"5.91"	"5.71"	"4.62"	"4.36"	"4.37"	"4.57"	"4.13"	"3.71"	"3.6"
"1981"	"3.97"	"4.73"	"5.54"	"5.93"	"5.64"	"4.66"	"4.42"	"4.34"	"4.48"	"4.1"	"3.68"	"3.49"
"1982"	"3.87"	"4.76"	"5.64"	"5.94"	"5.64"	"4.66"	"4.4"	"4.41"	"4.55"	"4.19"	"3.72"	"3.53"
"1983"	"3.93"	"4.9"	"5.75"	"6.04"	"5.74"	"4.74"	"4.44"	"4.39"	"4.45"	"4.1"	"3.67"	"3.54"
"1984"	"3.95"	"4.61"	"5.41"	"5.81"	"5.75"	"4.65"	"4.33"	"4.39"	"4.52"	"4.07"	"3.67"	"3.57"
"1985"	"3.98"	"4.79"	"5.64"	"5.95"	"5.68"	"4.62"	"4.32"	"4.39"	"4.57"	"4.05"	"3.63"	"3.58"
"1986"	"3.87"	"4.67"	"5.61"	"6.01"	"5.71"	"4.67"	"4.42"	"4.38"	"4.55"	"4.15"	"3.69"	"3.58"
"1987"	"3.91"	"4.61"	"5.48"	"5.93"	"5.67"	"4.73"	"4.49"	"4.42"	"4.64"	"4.15"	"3.75"	"3.56"
"1988"	"3.9"	"4.83"	"5.68"	"5.86"	"5.66"	"4.74"	"4.37"	"4.37"	"4.48"	"4.14"	"3.71"	"3.54"
"1989"	"3.9"	"4.68"	"5.49"	"5.91"	"5.66"	"4.66"	"4.34"	"4.37"	"4.51"	"4.14"	"3.69"	"3.57"
"1990"	"3.93"	"4.74"	"5.64"	"5.99"	"5.5"	"4.65"	"4.36"	"4.37"	"4.57"	"4.1"	"3.71"	"3.55"
"1991"	"4.04"	"4.75"	"5.7"	"5.89"	"5.71"	"4.66"	"4.31"	"4.34"	"4.58"	"4.09"	"3.65"	"3.51"
"1992"	"3.83"	"4.76"	"5.56"	"5.91"	"5.59"	"4.67"	"4.38"	"4.38"	"4.53"	"4.11"	"3.72"	"3.46"
"1993"	"3.91"	"4.68"	"5.57"	"5.93"	"5.7"	"4.73"	"4.38"	"4.41"	"4.47"	"4.08"	"3.67"	"3.49"
"1994"	"3.93"	"4.74"	"5.63"	"5.88"	"5.7"	"4.7"	"4.33"	"4.43"	"4.56"	"4.1"	"3.63"	"3.46"
"1995"	"3.93"	"4.77"	"5.56"	"5.92"	"5.52"	"4.79"	"4.38"	"4.44"	"4.53"	"4.1"	"3.81"	"3.55"
"1996"	"3.97"	"4.71"	"5.63"	"5.86"	"5.76"	"4.69"	"4.42"	"4.39"	"4.5"	"4.08"	"3.74"	"3.51"
"1997"	"3.94"	"4.75"	"5.56"	"5.75"	"5.69"	"4.85"	"4.44"	"4.42"	"4.6"	"4.17"	"3.8"	"3.63"
"1998"	"4.03"	"4.86"	"5.75"	"6.01"	"5.75"	"4.84"	"4.42"	"4.45"	"4.53"	"4.1"	"3.76"	"3.57"
"1999"	"3.96"	"4.72"	"5.67"	"5.88"	"5.45"	"4.67"	"4.4"	"4.43"	"4.6"	"4.14"	"3.72"	"3.54"
"2000"	"3.99"	"4.78"	"5.55"	"5.91"	"5.6"	"4.62"	"4.37"	"4.38"	"4.57"	"4.1"	"3.75"	"3.51"
"2001"	"3.99"	"4.9"	"5.66"	"5.91"	"5.66"	"4.71"	"4.43"	"4.39"	"4.6"	"4.08"	"3.75"	"3.55"
"2002"	"4.01"	"4.68"	"5.64"	"5.98"	"5.66"	"4.73"	"4.44"	"4.44"	"4.66"	"4.17"	"3.73"	"3.6"
